,Number of sequences,Sum of pairs,Circular sum
82s5,4,1116.0,926.0
82s8,2,-123.0,-246.0
82t5,7,2089.0,923.0
82t6,8,2447.0,1561.0
82t7,9,172.0,1209.0
83,2,-738.0,-1476.0
84,3,1899.0,1899.0
85,6,2789.0,1722.0
85s2,3,1360.0,1360.0
85t0,2,556.0,1112.0
85t3,4,2303.0,1550.0
86,13,15971.0,5143.0
86s7,7,12220.0,4030.0
86s8,3,1550.0,1550.0
86t10,11,18372.0,4726.0
86t8,2,620.0,1240.0
86t9,10,20249.0,5250.0
87,2,-105.0,-210.0
89,4,56.0,23.0
89s0,2,171.0,342.0
89s1,3,158.0,158.0
89t0,2,160.0,320.0
8t2,4,4662.0,3202.0
9,6,6975.0,2786.0
90,5,-17037.0,-11575.0
90t1,2,447.0,894.0
90t2,3,-52.0,-52.0
92,7,5617.0,2693.0
92s2,4,3561.0,2374.0
92t1,2,570.0,1140.0
92t3,5,3816.0,2365.0
92t4,6,5491.0,2764.0
93,10,-253.0,127.0
93s0,2,234.0,468.0
93s1,2,199.0,398.0
93s2,2,140.0,280.0
93s4,3,530.0,530.0
93s5,5,1159.0,565.0
93t7,9,3330.0,976.0
94,3,1209.0,1209.0
96,3,-1390.0,-1390.0
96t0,2,609.0,1218.0
99,4,1043.0,900.0
99t1,3,1246.0,1246.0
